Clusterid,RA_thiswork,Dec_thiswork,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade_thiswork,Grade_thiswork_by_LR,NUM_OF_IMG,Name_D22,RA_D22,Dec_D22,Grade_D22
2779955,89.39790418,-29.9932379,0.98,0.74,0.809365194,0.809365194,0.809365194,A,C,2,DESI-089.3979-29.9932,89.3979,-29.9932,A
2782371,19.6680519,-31.26184608,0.97,0.82,1.001019466,1.001019466,1.001019466,A,C,2,DESI-019.6681-31.2618,19.6681,-31.2618,B
2782696,51.52849267,-31.3816321,0.94,0.9,1.427332741,1.427332741,1.427332741,A,A,2,DESI-051.5285-31.3816,51.5285,-31.3816,B
2790619,17.44283131,-35.49886853,0.98,0.74,0.714074569,0.714074569,0.714074569,B,C,2,DESI-017.4428-35.4989,17.4428,-35.4989,C
2790728,21.18085213,-35.60250129,0.97,0.9,0.588272542,0.588272542,0.588272542,A,C,2,DESI-021.1809-35.6025,21.1809,-35.6025,B
2797048,32.30466131,-38.69605718,0.92,0.85,1.230782069,1.230782069,1.230782069,A,B,2,DESI-032.3047-38.6961,32.3047,-38.6961,A
2799235,81.54696397,-39.56299595,0.97,0.82,1.411958373,1.411958373,1.411958373,A,A,2,DESI-081.5470-39.5630,81.547,-39.563,B
2799575,11.36654936,-39.62623496,0.97,0.85,1.141846094,1.141846094,1.141846094,A,C,2,DESI-011.3665-39.6262,11.3665,-39.6262,B
2799891,71.36380807,-39.72332537,0.92,0.66,1.24325565,1.24325565,1.24325565,A,B,2,DESI-071.3638-39.7233,71.3638,-39.7233,C
2803459,8.115347699,-40.77110573,0.97,0.72,1.097093001,1.097093001,1.097093001,B,C,2,DESI-008.1153-40.7711,8.1153,-40.7711,A
2806859,5.096991017,-41.77777822,0.95,0.76,1.49515032,1.49515032,1.49515032,A,C,2,DESI-005.0970-41.7778,5.097,-41.7778,A
2807488,345.6308835,-41.9156958,0.96,0.82,1.217596652,1.217596652,1.217596652,A,B,2,DESI-345.6309-41.9157,345.6309,-41.9157,C
2814165,93.98414674,-43.91603606,0.98,0.64,1.509806966,1.509806966,1.509806966,C,C,2,DESI-093.9841-43.9160,93.9841,-43.916,C
2814525,335.9684138,-44.10835485,0.97,0.9,1.133559465,1.133559465,1.133559465,B,C,2,DESI-335.9684-44.1084,335.9684,-44.1084,B
2819974,358.363538,-45.65194677,0.95,0.85,1.454024047,1.454024047,1.454024047,A,C,2,DESI-358.3635-45.6519,358.3635,-45.6519,C
2820748,358.7762998,-45.89295886,0.94,0.82,2.199627491,2.199627491,2.199627491,C,A,2,DESI-358.7763-45.8930,358.7763,-45.893,B
2821677,57.71456702,-46.18580768,0.98,0.9,1.30349334,1.30349334,1.30349334,A,C,2,DESI-057.7146-46.1858,57.7146,-46.1858,A
2829653,345.8750458,-48.74184618,0.97,0.81,2.251769839,2.251769839,2.251769839,A,C,2,DESI-345.8750-48.7418,345.875,-48.7418,C
2841088,359.6381862,-52.27908026,0.94,0.66,2.29108399,2.29108399,2.29108399,A,C,2,DESI-359.6382-52.2791,359.6382,-52.2791,A
2844983,79.79046061,-53.48793573,0.92,0.9,2.253784264,2.253784264,2.253784264,A,A,2,DESI-079.7905-53.4879,79.7905,-53.4879,B
2846525,327.5385742,-53.99610152,0.96,0.83,2.461436583,2.461436583,2.461436583,C,A,2,DESI-327.5386-53.9961,327.5386,-53.9961,C
2853783,58.80399402,-56.41482751,0.96,0.85,1.290446494,1.290446494,1.290446494,A,A,2,DESI-058.8040-56.4148,58.804,-56.4148,C
2855451,67.99408584,-57.07619117,0.97,0.83,0.916412771,0.916412771,0.916412771,A,B,2,DESI-067.9941-57.0762,67.9941,-57.0762,A
2876204,317.0739538,-62.29952904,0.88,0.75,1.346906754,1.346906754,1.346906754,A,C,2,DESI-317.0740-62.2995,317.074,-62.2995,A
2883880,348.3090935,-63.48285743,0.94,0.63,1.250616919,1.250616919,1.250616919,B,B,2,DESI-348.3091-63.4829,348.3091,-63.4829,C
2884228,21.00904804,-63.57879071,0.94,0.83,0.867746741,0.867746741,0.867746741,A,B,2,DESI-021.0090-63.5788,21.009,-63.5788,B
