Clusterid,RA,Dec,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade,Grade_by_LR,NUM_OF_IMG,in_GLQ,in_D22,Grade_by_D22,q,phi,rein,NOTE
2596319,180.6180603,7.057171644,0.95,0.92,1.214156475,1.214156475,1.214156475,A,B,2,FALSE,TRUE,A,,,,
2596716,317.1525004,6.958707956,0.94,0.78,2.329665471,2.329665471,2.329665471,C,A,2,FALSE,FALSE,,,,,
2599999,186.051397,6.6040268,0.94,0.58,1.584715571,1.584715571,1.584715571,B,B,2,FALSE,FALSE,,,,,
2600066,308.8703068,6.58918841,0.98,0.62,1.918088122,1.918088122,1.918088122,A,A,2,FALSE,TRUE,C,,,,
2600684,320.9405288,6.4376697,0.88,0.61,1.248062014,1.248062014,1.248062014,A,C,2,FALSE,FALSE,,,,,
2601466,164.8601263,6.374283262,0.99,0.84,0.592084002,0.592084002,0.592084002,A,C,2,FALSE,FALSE,,,,,
2601840,127.2270402,6.367750979,0.99,0.85,2.075116965,2.075116965,2.075116965,B,C,2,FALSE,FALSE,,,,,
2604107,124.6266958,6.02706188,0.98,0.77,0.57371282,0.573712755,0.573712788,A,A,2,TRUE,FALSE,,,,,
2604520,35.44735416,5.919203396,0.95,0.89,0.860950642,0.860950642,0.860950642,A,C,2,FALSE,TRUE,A,,,,
2604577,201.1373438,5.906455352,0.98,0.76,2.073418927,2.073418927,2.073418927,C,B,2,FALSE,TRUE,C,,,,
2604655,119.1313287,5.887818971,0.95,0.9,1.16587338,1.16587338,1.16587338,A,C,2,FALSE,TRUE,A,,,,
2606503,356.2072671,5.65206189,0.97,0.84,2.022084995,2.022084995,2.022084995,C,A,2,FALSE,FALSE,,,,,
2608466,161.9715759,5.385871267,0.92,0.77,2.442256552,2.442256552,2.442256552,C,C,2,FALSE,FALSE,,,,,
2609358,253.1784806,5.36850738,0.96,0.72,1.169749335,1.169749335,1.169749335,C,C,2,FALSE,FALSE,,,,,
2609360,2.00220375,5.3671619,0.94,0.65,1.85447946,1.85447946,1.85447946,B,C,2,FALSE,FALSE,,,,,
2609909,36.40224233,5.224955591,0.92,0.71,2.23307476,2.23307476,2.23307476,C,A,2,FALSE,FALSE,,,,,
2614935,216.8535167,4.622219545,0.96,0.78,0.795496623,0.795496623,0.795496623,A,C,2,FALSE,FALSE,,,,,
2615126,355.8774341,4.599453189,0.99,0.69,1.231398697,1.231398697,1.231398697,A,C,2,FALSE,TRUE,C,,,,
2615155,234.4600496,4.5902532,0.98,0.76,1.844560828,1.844560828,1.844560828,A,B,2,FALSE,TRUE,C,,,,
2619465,20.59920429,3.977168947,0.95,0.82,1.705964337,1.705964337,1.705964337,B,A,2,FALSE,TRUE,B,,,,
2627022,128.4636836,3.020693695,0.96,0.72,1.470184087,1.470184087,1.470184087,A,C,2,FALSE,FALSE,,,,,
2632806,252.1703965,2.318550454,0.87,0.52,2.359669647,2.359669647,2.359669647,A,B,2,FALSE,FALSE,,,,,
2632938,32.15151633,2.281616156,0.94,0.93,1.520974849,1.520974849,1.520974849,C,B,2,FALSE,FALSE,,,,,
2634140,126.4428105,2.124718431,0.96,0.93,0.699507306,0.699507306,0.699507306,A,C,2,FALSE,FALSE,,,,,
2637029,189.8205408,1.781644346,0.94,0.67,1.73772922,1.73772922,1.73772922,A,B,2,FALSE,FALSE,,,,,
2637409,336.6172909,1.69275055,0.86,0.69,2.271934049,2.271934049,2.271934049,C,C,2,FALSE,FALSE,,,,,
